Time,PWM,Angular Velocity
0,0.00,0.00
20,0.00,0.00
40,0.00,0.00
60,0.00,0.00
80,0.00,0.00
100,0.00,0.00
120,0.00,0.00
140,0.00,0.00
160,0.00,0.00
180,0.00,0.00
200,0.00,0.00
220,0.00,0.00
240,0.00,0.00
260,0.00,0.00
280,0.00,0.00
300,0.00,0.00
320,0.00,0.00
340,0.00,0.00
360,0.00,0.00
380,0.00,0.00
400,0.00,0.00
420,0.00,0.00
440,0.00,0.00
460,0.00,0.00
480,0.00,0.00
500,0.00,0.00
520,0.00,0.00
540,0.00,0.00
560,0.00,0.00
580,0.00,0.00
600,0.00,0.00
620,0.00,0.00
640,0.00,0.00
660,0.00,0.00
680,0.00,0.00
700,0.00,0.00
720,0.00,0.00
740,0.00,0.00
760,0.00,0.00
780,0.00,0.00
800,0.00,0.00
820,0.00,0.00
840,0.00,0.00
860,0.00,0.00
880,0.00,0.00
900,0.00,0.00
920,0.00,0.00
940,0.00,0.00
960,0.00,0.00
980,0.00,0.00
1000,0.00,0.00
1020,0.00,0.00
1040,0.00,0.00
1060,0.00,0.00
1080,0.00,0.00
1100,0.00,0.00
1120,0.00,0.00
1140,0.00,0.00
1160,0.00,0.00
1180,0.00,0.00
1200,0.00,0.00
1220,0.00,0.00
1240,0.00,0.00
1260,0.00,0.00
1280,0.00,0.00
1300,0.00,0.00
1320,0.00,0.00
1340,0.00,0.00
1360,0.00,0.00
1380,0.00,0.00
1400,0.00,0.00
1420,0.00,0.00
1440,0.00,0.00
1460,0.00,0.00
1480,0.00,0.00
1500,0.00,0.00
1520,0.00,0.00
1540,0.00,0.00
1560,0.00,0.00
1580,0.00,0.00
1600,0.00,0.00
1620,0.00,0.00
1640,0.00,0.00
1660,0.00,0.00
1680,0.00,0.00
1700,0.00,0.00
1720,0.00,0.00
1740,0.00,0.00
1760,0.00,0.00
1780,0.00,0.00
1800,0.00,0.00
1820,0.00,0.00
1840,0.00,0.00
1860,0.00,0.00
1880,0.00,0.00
1900,0.00,0.00
1920,0.00,0.00
1940,0.00,0.00
1960,0.00,0.00
1980,0.00,0.00
2000,65535.00,0.00
2020,65535.00,7.79
2040,65535.00,12.31
2060,65535.00,11.84
2080,65535.00,14.37
2100,65535.00,14.90
2120,65535.00,15.12
2140,65535.00,14.84
2160,65535.00,15.83
2180,65535.00,15.02
2200,65535.00,15.43
2220,65535.00,15.33
2240,65535.00,14.55
2260,65535.00,16.05
2280,65535.00,14.93
2300,65535.00,15.43
2320,65535.00,15.33
2340,65535.00,15.33
2360,65535.00,15.33
2380,65535.00,15.33
2400,65535.00,15.33
2420,65535.00,15.33
2440,65535.00,15.33
2460,65535.00,15.33
2480,65535.00,15.33
2500,65535.00,15.33
2520,65535.00,15.33
2540,65535.00,15.33
2560,65535.00,15.33
2580,65535.00,15.33
2600,65535.00,15.33
2620,65535.00,15.33
2640,65535.00,15.33
2660,65535.00,15.33
2680,65535.00,15.33
2700,65535.00,15.33
2720,65535.00,15.33
2740,65535.00,15.33
2760,65535.00,15.33
2780,65535.00,15.33
2800,65535.00,15.33
2820,65535.00,15.33
2840,65535.00,15.33
2860,65535.00,15.33
2880,65535.00,15.33
2900,65535.00,15.33
2920,65535.00,15.33
2940,65535.00,15.33
2960,65535.00,15.33
2980,65535.00,15.33
3000,65535.00,15.33
3020,0.00,15.33
3040,0.00,8.32
3060,0.00,1.53
3080,0.00,3.05
3100,0.00,0.34
3120,0.00,-0.41
3140,0.00,0.25
3160,0.00,-0.19
3180,0.00,0.00
3200,0.00,0.00
3220,0.00,0.00
3240,0.00,0.00
3260,0.00,0.00
3280,0.00,0.00
3300,0.00,0.00
3320,0.00,0.00
3340,0.00,0.00
3360,0.00,0.00
3380,0.00,0.00
3400,0.00,0.00
3420,0.00,0.00
3440,0.00,0.00
3460,0.00,0.00
3480,0.00,0.00
3500,0.00,0.00
3520,0.00,0.00
3540,0.00,0.00
3560,0.00,0.00
3580,0.00,0.00
3600,0.00,0.00
3620,0.00,0.00
3640,0.00,0.00
3660,0.00,0.00
3680,0.00,0.00
3700,0.00,0.00
3720,0.00,0.00
3740,0.00,0.00
3760,0.00,0.00
3780,0.00,0.00
3800,0.00,0.00
3820,0.00,0.00
3840,0.00,0.00
3860,0.00,0.00
3880,0.00,0.00
3900,0.00,0.00
3920,0.00,0.00
3940,0.00,0.00
3960,0.00,0.00
3980,0.00,0.00
4000,0.00,0.00
4020,0.00,0.00
4040,0.00,0.00
4060,0.00,0.00
4080,0.00,0.00
4100,0.00,0.00
4120,0.00,0.00
4140,0.00,0.00
4160,0.00,0.00
4180,0.00,0.00
4200,0.00,0.00
4220,0.00,0.00
4240,0.00,0.00
4260,0.00,0.00
4280,0.00,0.00
4300,0.00,0.00
4320,0.00,0.00
4340,0.00,0.00
4360,0.00,0.00
4380,0.00,0.00
4400,0.00,0.00
4420,0.00,0.00
4440,0.00,0.00
4460,0.00,0.00
4480,0.00,0.00
4500,0.00,0.00
4520,0.00,0.00
4540,0.00,0.00
4560,0.00,0.00
4580,0.00,0.00
4600,0.00,0.00
4620,0.00,0.00
4640,0.00,0.00
4660,0.00,0.00
4680,0.00,0.00
4700,0.00,0.00
4720,0.00,0.00
4740,0.00,0.00
4760,0.00,0.00
4780,0.00,0.00
4800,0.00,0.00
4820,0.00,0.00
4840,0.00,0.00
4860,0.00,0.00
4880,0.00,0.00
4900,0.00,0.00
4920,0.00,0.00
4940,0.00,0.00
4960,0.00,0.00
4980,0.00,0.00
